AUTHOR,AVAILABLE,BORROWDATE,BORROWERID,DESCRIPTION,GENRE,ID,ISBN,LANGUAGE,PUBLISHER,RATING,RELEASEDATE,SERIES,TITLE,TYPE
Author 38,TRUE,,,Description for book 38,Fiction,38,9.78E+11,English,Publisher 8,4.3,2018-01-01,Series 3,Book Title 38,Book
Author 39,TRUE,,,Description for book 39,Fiction,39,9.78E+11,English,Publisher 9,4.6,2019-01-01,Series 4,Book Title 39,Book
Author 40,FALSE,,,Description for book 40,Sci-Fi,40,9.78E+11,English,Publisher 0,4.1,2000-01-01,Series 0,Book Title 40,Book
Author 41,TRUE,,,Description for book 41,Fiction,41,9.78E+11,English,Publisher 1,4.6,2001-01-01,Series 1,Book Title 41,Book
Author 42,TRUE,,,Description for book 42,Sci-Fi,42,9.78E+11,English,Publisher 2,3.6,2002-01-01,Series 2,Book Title 42,Book
Author 43,TRUE,,,Description for book 43,Sci-Fi,43,9.78E+11,English,Publisher 3,4.6,2003-01-01,Series 3,Book Title 43,Book
Author 44,FALSE,,,Description for book 44,Fantasy,44,9.78E+11,English,Publisher 4,5,2004-01-01,Series 4,Book Title 44,Book
Author 45,TRUE,,,Description for book 45,Sci-Fi,45,9.78E+11,English,Publisher 5,4.7,2005-01-01,Series 0,Book Title 45,Book
Author 46,TRUE,,,Description for book 46,Sci-Fi,46,9.78E+11,English,Publisher 6,4.8,2006-01-01,Series 1,Book Title 46,Book
Author 47,TRUE,,,Description for book 47,Fiction,47,9.78E+11,English,Publisher 7,3.7,2007-01-01,Series 2,Book Title 47,Book
Author 48,FALSE,,,Description for book 48,Education,48,9.78E+11,English,Publisher 8,4.8,2008-01-01,Series 3,Book Title 48,Book
Author 49,TRUE,,,Description for book 49,Education,49,9.78E+11,English,Publisher 9,3.6,2009-01-01,Series 4,Book Title 49,Book
Author 50,TRUE,,,Description for book 50,Education,50,9.78E+11,English,Publisher 0,3.5,2010-01-01,Series 0,Book Title 50,Book
