id,type,title,author,publisher,ISBN,series,rating,description,language,genre,releaseDate,available
23,Book,Book Title 23,Author 23,Publisher 3,9.78E+11,Series 3,3.7,Description for book 23,English,Sci-Fi,2003-01-01,TRUE
24,Book,Book Title 24,Author 24,Publisher 4,9.78E+11,Series 4,5,Description for book 24,English,Fantasy,2004-01-01,FALSE
25,Book,Book Title 25,Author 25,Publisher 5,9.78E+11,Series 0,3.7,Description for book 25,English,Fantasy,2005-01-01,TRUE
26,Book,Book Title 26,Author 26,Publisher 6,9.78E+11,Series 1,3.6,Description for book 26,English,Education,2006-01-01,TRUE
27,Book,Book Title 27,Author 27,Publisher 7,9.78E+11,Series 2,4.5,Description for book 27,English,Fantasy,2007-01-01,TRUE
28,Book,Book Title 28,Author 28,Publisher 8,9.78E+11,Series 3,4,Description for book 28,English,Sci-Fi,2008-01-01,FALSE
29,Book,Book Title 29,Author 29,Publisher 9,9.78E+11,Series 4,4.5,Description for book 29,English,Fantasy,2009-01-01,TRUE
30,Book,Book Title 30,Author 30,Publisher 0,9.78E+11,Series 0,4.3,Description for book 30,English,Fiction,2010-01-01,TRUE
31,Book,Book Title 31,Author 31,Publisher 1,9.78E+11,Series 1,4.7,Description for book 31,English,Sci-Fi,2011-01-01,TRUE
32,Book,Book Title 32,Author 32,Publisher 2,9.78E+11,Series 2,4.3,Description for book 32,English,Fiction,2012-01-01,FALSE
33,Book,Book Title 33,Author 33,Publisher 3,9.78E+11,Series 3,4.6,Description for book 33,English,Fantasy,2013-01-01,TRUE
34,Book,Book Title 34,Author 34,Publisher 4,9.78E+11,Series 4,5,Description for book 34,English,Fantasy,2014-01-01,TRUE
35,Book,Book Title 35,Author 35,Publisher 5,9.78E+11,Series 0,4.7,Description for book 35,English,Fantasy,2015-01-01,TRUE
36,Book,Book Title 36,Author 36,Publisher 6,9.78E+11,Series 1,3.6,Description for book 36,English,Fiction,2016-01-01,FALSE
37,Book,Book Title 37,Author 37,Publisher 7,9.78E+11,Series 2,4.6,Description for book 37,English,Sci-Fi,2017-01-01,TRUE
38,Book,Book Title 38,Author 38,Publisher 8,9.78E+11,Series 3,4.3,Description for book 38,English,Fiction,2018-01-01,TRUE
39,Book,Book Title 39,Author 39,Publisher 9,9.78E+11,Series 4,4.6,Description for book 39,English,Fiction,2019-01-01,TRUE
40,Book,Book Title 40,Author 40,Publisher 0,9.78E+11,Series 0,4.1,Description for book 40,English,Sci-Fi,2000-01-01,FALSE
41,Book,Book Title 41,Author 41,Publisher 1,9.78E+11,Series 1,4.6,Description for book 41,English,Fiction,2001-01-01,TRUE
42,Book,Book Title 42,Author 42,Publisher 2,9.78E+11,Series 2,3.6,Description for book 42,English,Sci-Fi,2002-01-01,TRUE
43,Book,Book Title 43,Author 43,Publisher 3,9.78E+11,Series 3,4.6,Description for book 43,English,Sci-Fi,2003-01-01,TRUE
44,Book,Book Title 44,Author 44,Publisher 4,9.78E+11,Series 4,5,Description for book 44,English,Fantasy,2004-01-01,FALSE
45,Book,Book Title 45,Author 45,Publisher 5,9.78E+11,Series 0,4.7,Description for book 45,English,Sci-Fi,2005-01-01,TRUE
46,Book,Book Title 46,Author 46,Publisher 6,9.78E+11,Series 1,4.8,Description for book 46,English,Sci-Fi,2006-01-01,TRUE
47,Book,Book Title 47,Author 47,Publisher 7,9.78E+11,Series 2,3.7,Description for book 47,English,Fiction,2007-01-01,TRUE
48,Book,Book Title 48,Author 48,Publisher 8,9.78E+11,Series 3,4.8,Description for book 48,English,Education,2008-01-01,FALSE
49,Book,Book Title 49,Author 49,Publisher 9,9.78E+11,Series 4,3.6,Description for book 49,English,Education,2009-01-01,TRUE
50,Book,Book Title 50,Author 50,Publisher 0,9.78E+11,Series 0,3.5,Description for book 50,English,Education,2010-01-01,TRUE
